id,account_key,initiated_datetime,order_status,symbol,avg_price,quantity,last_updated_datetime
35,account_13,2024-10-05 10:12:00,pending,FB,375.5,140,2024-10-05 10:17:00
36,account_28,2024-10-05 10:27:00,completed,NVDA,215.9,60,2024-10-05 10:32:00
37,account_27,2024-10-05 10:26:00,pending,FB,376.5,80,2024-10-05 10:31:00
38,account_22,2024-10-05 10:21:00,completed,GOOG,2901.0,70,2024-10-05 10:26:00
39,account_15,2024-10-05 10:14:00,pending,GOOG,2900.75,50,2024-10-05 10:19:00
40,account_11,2024-10-05 10:10:00,pending,AMZN,3300.6,180,2024-10-05 10:15:00
41,account_33,2024-10-05 10:32:00,pending,TSLA,275.7,90,2024-10-05 10:37:00
42,account_32,2024-10-05 10:31:00,completed,AMZN,3301.5,140,2024-10-05 10:36:00
43,account_25,2024-10-05 10:24:00,pending,AMZN,3301.0,130,2024-10-05 10:29:00
44,account_24,2024-10-05 10:23:00,completed,MSFT,296.3,120,2024-10-05 10:28:00
45,account_12,2024-10-05 10:11:00,completed,TSLA,275.1,70,2024-10-05 10:16:00
46,account_29,2024-10-05 10:28:00,pending,GOOG,2901.25,120,2024-10-05 10:33:00
47,account_24,2024-10-05 10:23:00,completed,MSFT,296.3,120,2024-10-05 10:28:00
48,account_4,2024-10-05 10:03:00,completed,MSFT,295.7,150,2024-10-05 10:08:00
49,account_31,2024-10-05 10:30:00,pending,MSFT,296.5,100,2024-10-05 10:35:00
50,account_25,2024-10-05 10:24:00,pending,AMZN,3301.0,130,2024-10-05 10:29:00
51,account_8,2024-10-05 10:07:00,completed,GOOG,2900.5,30,2024-10-05 10:12:00
52,account_22,2024-10-05 10:21:00,completed,GOOG,2901.0,70,2024-10-05 10:26:00
53,account_19,2024-10-05 10:18:00,pending,TSLA,275.3,200,2024-10-05 10:23:00
54,account_23,2024-10-05 10:22:00,pending,AAPL,176.2,90,2024-10-05 10:27:00
55,account_5,2024-10-05 10:04:00,pending,TSLA,275.0,50,2024-10-05 10:09:00
56,account_30,2024-10-05 10:29:00,completed,AAPL,176.5,110,2024-10-05 10:34:00
57,account_26,2024-10-05 10:25:00,completed,TSLA,275.5,150,2024-10-05 10:30:00
